 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> February 27, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Fe in Fe-Cr-Ni

 Ion = Iron [26] , Mass = 55.935 amu

 Target Density =  7.8348E+00 g/cm3 = 8.5203E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    071.40    072.01   
     Cr     24    019.20    018.03   
     Ni     28    009.40    009.96   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   1.184E+01  1.699E+02      58 A        34 A        25 A   
  13.00 keV   1.233E+01  1.727E+02      62 A        36 A        26 A   
  14.00 keV   1.279E+01  1.752E+02      65 A        37 A        27 A   
  15.00 keV   1.324E+01  1.776E+02      68 A        39 A        28 A   
  16.00 keV   1.367E+01  1.797E+02      72 A        41 A        29 A   
  17.00 keV   1.410E+01  1.816E+02      75 A        42 A        31 A   
  18.00 keV   1.450E+01  1.833E+02      78 A        44 A        32 A   
  20.00 keV   1.529E+01  1.864E+02      85 A        47 A        34 A   
  22.50 keV   1.622E+01  1.896E+02      93 A        51 A        37 A   
  25.00 keV   1.709E+01  1.922E+02     100 A        55 A        39 A   
  27.50 keV   1.793E+01  1.944E+02     108 A        58 A        42 A   
  30.00 keV   1.872E+01  1.961E+02     116 A        62 A        45 A   
  32.50 keV   1.949E+01  1.976E+02     124 A        66 A        47 A   
  35.00 keV   2.023E+01  1.988E+02     131 A        69 A        50 A   
  37.50 keV   2.094E+01  1.998E+02     139 A        73 A        52 A   
  40.00 keV   2.162E+01  2.006E+02     147 A        76 A        55 A   
  45.00 keV   2.293E+01  2.017E+02     162 A        83 A        59 A   
  50.00 keV   2.417E+01  2.024E+02     177 A        90 A        64 A   
  55.00 keV   2.535E+01  2.027E+02     192 A        97 A        69 A   
  60.00 keV   2.648E+01  2.027E+02     207 A       104 A        74 A   
  65.00 keV   2.756E+01  2.024E+02     222 A       111 A        78 A   
  70.00 keV   2.860E+01  2.020E+02     238 A       117 A        83 A   
  80.00 keV   3.058E+01  2.008E+02     268 A       131 A        92 A   
  90.00 keV   3.243E+01  1.992E+02     299 A       144 A       101 A   
 100.00 keV   3.419E+01  1.973E+02     330 A       157 A       109 A   
 110.00 keV   3.586E+01  1.953E+02     362 A       170 A       118 A   
 120.00 keV   3.900E+01  1.931E+02     393 A       183 A       127 A   
 130.00 keV   4.158E+01  1.910E+02     425 A       196 A       136 A   
 140.00 keV   4.345E+01  1.887E+02     456 A       208 A       144 A   
