# Electronic stopping power in target NiFeCr for LAMMPS fix electron/stopping
#                             Ni                 Fe                 Cr
#         eV               eV/Ang             eV/Ang             eV/Ang
   300000.00000000        46.16000000        63.29000000        78.22000000 
   325000.00000000        49.03000000        66.22000000        82.47000000 
   350000.00000000        52.23000000        69.16000000        86.40000000 
   375000.00000000        55.69000000        72.12000000        90.09000000 
   400000.00000000        59.34000000        75.10000000        93.56000000 
   450000.00000000        66.97000000        81.12000000       100.00000000 
   500000.00000000        74.71000000        87.19000000       106.10000000 
   550000.00000000        82.30000000        93.27000000       111.80000000 
   600000.00000000        89.56000000        99.33000000       117.40000000 
   650000.00000000        96.38000000       105.40000000       122.90000000 
   700000.00000000       102.70000000       111.30000000       128.40000000 
   800000.00000000       113.90000000       123.00000000       139.40000000 
   900000.00000000       123.20000000       134.40000000       150.60000000 
  1000000.00000000       130.90000000       145.60000000       162.00000000 
  1100000.00000000       137.20000000       156.40000000       173.60000000 
  1200000.00000000       142.30000000       167.00000000       185.40000000 
  1300000.00000000       146.60000000       177.30000000       197.30000000 
  1400000.00000000       150.20000000       187.50000000       209.40000000 
  1500000.00000000       153.30000000       197.40000000       221.50000000 
  1600000.00000000       156.00000000       207.20000000       233.60000000 
  1700000.00000000       158.50000000       216.80000000       245.70000000 
  1800000.00000000       160.90000000       226.30000000       257.70000000 
  2000000.00000000       165.50000000       244.90000000       281.60000000 
  2250000.00000000       171.70000000       267.60000000       311.00000000 
  2500000.00000000       178.90000000       289.70000000       339.60000000 
  2750000.00000000       187.30000000       311.60000000       367.40000000 
  3000000.00000000       197.20000000       333.10000000       394.30000000 
  3250000.00000000       208.40000000       354.30000000       420.40000000 
  3500000.00000000       221.00000000       375.30000000       445.50000000 
  3750000.00000000       234.90000000       396.00000000       469.80000000 
  4000000.00000000       249.80000000       416.60000000       493.20000000 
  4500000.00000000       282.60000000       457.00000000       537.70000000 
  5000000.00000000       318.50000000       496.40000000       579.10000000 
  5500000.00000000       356.50000000       534.90000000       617.70000000 
  6000000.00000000       395.90000000       572.30000000       653.80000000 
  6500000.00000000       436.20000000       608.70000000       687.70000000 
  7000000.00000000       476.90000000       643.90000000       719.50000000 
  8000000.00000000       557.80000000       711.30000000       777.60000000 
  9000000.00000000       636.50000000       774.40000000       829.70000000 
 10000000.00000000       711.90000000       833.60000000       876.80000000 
 11000000.00000000       783.30000000       888.80000000       919.70000000 
 12000000.00000000       850.40000000       940.60000000       959.10000000 
 13000000.00000000       913.20000000       989.00000000       995.50000000 
 14000000.00000000       971.90000000      1034.00000000      1029.00000000 
 15000000.00000000      1027.00000000      1077.00000000      1061.00000000 
 16000000.00000000      1078.00000000      1117.00000000      1090.00000000 
 17000000.00000000      1125.00000000      1154.00000000      1118.00000000 
 18000000.00000000      1169.00000000      1190.00000000      1144.00000000 
 20000000.00000000      1249.00000000      1254.00000000      1191.00000000 
 22500000.00000000      1335.00000000      1324.00000000      1244.00000000 
 25000000.00000000      1408.00000000      1385.00000000      1290.00000000 
 27500000.00000000      1470.00000000      1438.00000000      1331.00000000 
 30000000.00000000      1523.00000000      1485.00000000      1367.00000000 
