 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> March 24, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Zirconium in Zirconium

 Ion = Zirconium [40] , Mass = 89.9 amu

 Target Density =  6.4900E+00 g/cm3 = 4.2845E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zr     40    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  13.00 keV   6.603E+00  1.454E+02      78 A        50 A        36 A   
  14.00 keV   6.852E+00  1.486E+02      82 A        52 A        38 A   
  15.00 keV   7.093E+00  1.517E+02      86 A        54 A        39 A   
  16.00 keV   7.325E+00  1.545E+02      90 A        56 A        41 A   
  17.00 keV   7.551E+00  1.571E+02      93 A        58 A        42 A   
  18.00 keV   7.770E+00  1.595E+02      97 A        60 A        43 A   
  20.00 keV   8.190E+00  1.640E+02     104 A        64 A        46 A   
  22.50 keV   8.687E+00  1.690E+02     112 A        69 A        49 A   
  25.00 keV   9.157E+00  1.733E+02     121 A        73 A        53 A   
  27.50 keV   9.604E+00  1.772E+02     129 A        77 A        56 A   
  30.00 keV   1.003E+01  1.806E+02     137 A        82 A        59 A   
  32.50 keV   1.044E+01  1.837E+02     145 A        86 A        62 A   
  35.00 keV   1.083E+01  1.864E+02     153 A        90 A        65 A   
  37.50 keV   1.121E+01  1.890E+02     161 A        94 A        68 A   
  40.00 keV   1.158E+01  1.913E+02     168 A        98 A        70 A   
  45.00 keV   1.229E+01  1.953E+02     184 A       105 A        76 A   
  50.00 keV   1.295E+01  1.986E+02     199 A       113 A        81 A   
  55.00 keV   1.358E+01  2.015E+02     214 A       120 A        87 A   
  60.00 keV   1.419E+01  2.040E+02     229 A       128 A        92 A   
