 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> February 27, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Chromium in Fe-Cr-Ni

 Ion = Chromium [24] , Mass = 51.94 amu

 Target Density =  7.8348E+00 g/cm3 = 8.5203E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    071.40    072.01   
     Cr     24    019.20    018.03   
     Ni     28    009.40    009.96   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   1.386E+01  1.564E+02      60 A        36 A        26 A   
  13.00 keV   1.443E+01  1.588E+02      64 A        38 A        27 A   
  14.00 keV   1.498E+01  1.610E+02      67 A        39 A        29 A   
  15.00 keV   1.550E+01  1.629E+02      71 A        41 A        30 A   
  16.00 keV   1.601E+01  1.647E+02      74 A        43 A        31 A   
  17.00 keV   1.650E+01  1.663E+02      78 A        45 A        32 A   
  18.00 keV   1.698E+01  1.678E+02      81 A        47 A        34 A   
  20.00 keV   1.790E+01  1.703E+02      88 A        50 A        36 A   
  22.50 keV   1.899E+01  1.729E+02      97 A        54 A        39 A   
  25.00 keV   2.001E+01  1.750E+02     105 A        58 A        42 A   
  27.50 keV   2.099E+01  1.766E+02     113 A        62 A        45 A   
  30.00 keV   2.192E+01  1.780E+02     121 A        66 A        47 A   
  32.50 keV   2.282E+01  1.790E+02     130 A        70 A        50 A   
  35.00 keV   2.368E+01  1.799E+02     138 A        74 A        53 A   
  37.50 keV   2.451E+01  1.806E+02     146 A        78 A        56 A   
  40.00 keV   2.531E+01  1.811E+02     154 A        82 A        58 A   
  45.00 keV   2.685E+01  1.817E+02     170 A        89 A        63 A   
  50.00 keV   2.830E+01  1.819E+02     187 A        97 A        69 A   
  55.00 keV   2.968E+01  1.818E+02     203 A       104 A        74 A   
  60.00 keV   3.100E+01  1.814E+02     219 A       111 A        79 A   
  65.00 keV   3.227E+01  1.809E+02     235 A       119 A        84 A   
  70.00 keV   3.349E+01  1.802E+02     252 A       126 A        88 A   
  80.00 keV   3.580E+01  1.786E+02     285 A       140 A        98 A   
  90.00 keV   3.797E+01  1.767E+02     318 A       154 A       108 A   
 100.00 keV   4.002E+01  1.746E+02     351 A       168 A       117 A   
 110.00 keV   4.101E+01  1.724E+02     385 A       182 A       127 A   
 120.00 keV   4.183E+01  1.701E+02     419 A       197 A       136 A   
 130.00 keV   4.298E+01  1.679E+02     454 A       211 A       146 A   
 140.00 keV   4.436E+01  1.656E+02     489 A       225 A       155 A   
 150.00 keV   4.597E+01  1.634E+02     524 A       239 A       165 A   
 160.00 keV   4.784E+01  1.612E+02     559 A       253 A       174 A   
 170.00 keV   4.997E+01  1.590E+02     595 A       267 A       184 A   
 180.00 keV   5.229E+01  1.569E+02     631 A       280 A       193 A   
 200.00 keV   5.715E+01  1.528E+02     703 A       307 A       213 A   
 225.00 keV   6.309E+01  1.479E+02     793 A       339 A       237 A   
 250.00 keV   6.859E+01  1.434E+02     884 A       371 A       261 A   
 275.00 keV   7.362E+01  1.391E+02     975 A       402 A       286 A   
 300.00 keV   7.822E+01  1.351E+02    1066 A       432 A       309 A   
 325.00 keV   8.247E+01  1.314E+02    1158 A       461 A       333 A   
 350.00 keV   8.640E+01  1.279E+02    1250 A       490 A       357 A   
 375.00 keV   9.009E+01  1.246E+02    1342 A       518 A       380 A   
 400.00 keV   9.356E+01  1.215E+02    1435 A       546 A       403 A   
 450.00 keV   1.000E+02  1.158E+02    1621 A       600 A       449 A   
 500.00 keV   1.061E+02  1.106E+02    1809 A       652 A       494 A   
 550.00 keV   1.118E+02  1.060E+02    1997 A       702 A       539 A   
 600.00 keV   1.174E+02  1.019E+02    2186 A       751 A       583 A   
 650.00 keV   1.229E+02  9.806E+01    2374 A       798 A       626 A   
 700.00 keV   1.284E+02  9.457E+01    2562 A       843 A       668 A   
 800.00 keV   1.394E+02  8.841E+01    2936 A       929 A       752 A   
 900.00 keV   1.506E+02  8.312E+01    3305 A      1008 A       832 A   
   1.00 MeV   1.620E+02  7.852E+01    3667 A      1081 A       909 A   
   1.10 MeV   1.736E+02  7.448E+01    4021 A      1148 A       982 A   
   1.20 MeV   1.854E+02  7.090E+01    4366 A      1210 A      1052 A   
   1.30 MeV   1.973E+02  6.770E+01    4703 A      1267 A      1118 A   
   1.40 MeV   2.094E+02  6.482E+01    5030 A      1319 A      1181 A   
   1.50 MeV   2.215E+02  6.220E+01    5348 A      1367 A      1241 A   
   1.60 MeV   2.336E+02  5.983E+01    5658 A      1412 A      1298 A   
   1.70 MeV   2.457E+02  5.765E+01    5958 A      1453 A      1352 A   
   1.80 MeV   2.577E+02  5.565E+01    6250 A      1492 A      1403 A   
   2.00 MeV   2.816E+02  5.209E+01    6811 A      1561 A      1497 A   
   2.25 MeV   3.110E+02  4.831E+01    7470 A      1636 A      1602 A   
   2.50 MeV   3.396E+02  4.511E+01    8090 A      1699 A      1695 A   
   2.75 MeV   3.674E+02  4.236E+01    8674 A      1753 A      1778 A   
   3.00 MeV   3.943E+02  3.996E+01    9227 A      1800 A      1852 A   
   3.25 MeV   4.204E+02  3.786E+01    9753 A      1841 A      1919 A   
   3.50 MeV   4.455E+02  3.599E+01    1.03 um     1878 A      1980 A   
   3.75 MeV   4.698E+02  3.431E+01    1.07 um     1910 A      2035 A   
   4.00 MeV   4.932E+02  3.281E+01    1.12 um     1940 A      2086 A   
   4.50 MeV   5.377E+02  3.021E+01    1.21 um     1991 A      2176 A   
   5.00 MeV   5.791E+02  2.803E+01    1.29 um     2035 A      2254 A   
   5.50 MeV   6.177E+02  2.617E+01    1.37 um     2072 A      2322 A   
   6.00 MeV   6.538E+02  2.457E+01    1.44 um     2104 A      2382 A   
   6.50 MeV   6.877E+02  2.318E+01    1.51 um     2131 A      2436 A   
   7.00 MeV   7.195E+02  2.195E+01    1.58 um     2156 A      2485 A   
   8.00 MeV   7.776E+02  1.988E+01    1.70 um     2202 A      2570 A   
   9.00 MeV   8.297E+02  1.820E+01    1.82 um     2239 A      2642 A   
  10.00 MeV   8.768E+02  1.681E+01    1.93 um     2271 A      2705 A   
  11.00 MeV   9.197E+02  1.563E+01    2.04 um     2299 A      2760 A   
  12.00 MeV   9.591E+02  1.462E+01    2.14 um     2323 A      2809 A   
  13.00 MeV   9.955E+02  1.375E+01    2.24 um     2345 A      2853 A   
  14.00 MeV   1.029E+03  1.298E+01    2.34 um     2364 A      2894 A   
  15.00 MeV   1.061E+03  1.230E+01    2.43 um     2382 A      2931 A   
  16.00 MeV   1.090E+03  1.170E+01    2.53 um     2398 A      2965 A   
  17.00 MeV   1.118E+03  1.115E+01    2.61 um     2413 A      2996 A   
  18.00 MeV   1.144E+03  1.066E+01    2.70 um     2427 A      3026 A   
  20.00 MeV   1.191E+03  9.811E+00    2.87 um     2458 A      3080 A   
  22.50 MeV   1.244E+03  8.934E+00    3.07 um     2495 A      3139 A   
  25.00 MeV   1.290E+03  8.212E+00    3.27 um     2528 A      3191 A   
  27.50 MeV   1.331E+03  7.606E+00    3.45 um     2557 A      3238 A   
  30.00 MeV   1.367E+03  7.091E+00    3.64 um     2584 A      3280 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E+00                 eV / Angstrom 
  1.0000E+01                keV / micron   
  1.0000E+01                MeV / mm       
  1.2764E-02                keV / (ug/cm2) 
  1.2764E-02                MeV / (mg/cm2) 
  1.2764E+01                keV / (mg/cm2) 
  1.1737E+00                 eV / (1E15 atoms/cm2)
  1.9110E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
