 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> February 27, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Nickel in Fe-Cr-Ni

 Ion = Nickel [28] , Mass = 57.94 amu

 Target Density =  7.8348E+00 g/cm3 = 8.5203E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    071.40    072.01   
     Cr     24    019.20    018.03   
     Ni     28    009.40    009.96   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   7.012E+00  1.806E+02      57 A        33 A        24 A   
  13.00 keV   7.298E+00  1.837E+02      60 A        35 A        25 A   
  14.00 keV   7.574E+00  1.866E+02      63 A        37 A        26 A   
  15.00 keV   7.840E+00  1.892E+02      67 A        38 A        28 A   
  16.00 keV   8.097E+00  1.916E+02      70 A        40 A        29 A   
  17.00 keV   8.346E+00  1.938E+02      73 A        41 A        30 A   
  18.00 keV   8.588E+00  1.958E+02      76 A        43 A        31 A   
  20.00 keV   9.053E+00  1.993E+02      82 A        46 A        33 A   
  22.50 keV   9.602E+00  2.030E+02      90 A        50 A        36 A   
  25.00 keV   1.012E+01  2.061E+02      98 A        53 A        38 A   
  27.50 keV   1.062E+01  2.087E+02     105 A        57 A        41 A   
  30.00 keV   1.109E+01  2.108E+02     113 A        61 A        43 A   
  32.50 keV   1.154E+01  2.127E+02     120 A        64 A        46 A   
  35.00 keV   1.198E+01  2.142E+02     127 A        68 A        48 A   
  37.50 keV   1.240E+01  2.155E+02     135 A        71 A        51 A   
  40.00 keV   1.280E+01  2.165E+02     142 A        75 A        53 A   
  45.00 keV   1.358E+01  2.181E+02     157 A        81 A        58 A   
  50.00 keV   1.431E+01  2.192E+02     171 A        88 A        63 A   
  55.00 keV   1.501E+01  2.199E+02     186 A        95 A        67 A   
  60.00 keV   1.568E+01  2.202E+02     201 A       101 A        72 A   
  65.00 keV   1.632E+01  2.202E+02     215 A       108 A        76 A   
  70.00 keV   1.694E+01  2.200E+02     230 A       115 A        80 A   
  80.00 keV   1.811E+01  2.192E+02     260 A       128 A        89 A   
  90.00 keV   1.920E+01  2.179E+02     289 A       141 A        98 A   
 100.00 keV   2.024E+01  2.163E+02     320 A       154 A       107 A   
 110.00 keV   2.123E+01  2.145E+02     350 A       167 A       115 A   
 120.00 keV   2.472E+01  2.125E+02     381 A       180 A       124 A   
 130.00 keV   2.986E+01  2.104E+02     411 A       192 A       133 A   
 140.00 keV   3.303E+01  2.083E+02     441 A       204 A       141 A   
 150.00 keV   3.494E+01  2.061E+02     472 A       217 A       150 A   
 160.00 keV   3.607E+01  2.039E+02     502 A       229 A       159 A   
 170.00 keV   3.680E+01  2.017E+02     533 A       241 A       167 A   
 180.00 keV   3.735E+01  1.996E+02     564 A       253 A       175 A   
 200.00 keV   3.840E+01  1.953E+02     628 A       278 A       192 A   
 225.00 keV   3.985E+01  1.901E+02     710 A       310 A       213 A   
 250.00 keV   4.158E+01  1.852E+02     793 A       341 A       234 A   
 275.00 keV   4.367E+01  1.804E+02     878 A       373 A       255 A   
 300.00 keV   4.616E+01  1.759E+02     965 A       404 A       277 A   
 325.00 keV   4.903E+01  1.717E+02    1052 A       435 A       299 A   
 350.00 keV   5.223E+01  1.676E+02    1141 A       466 A       321 A   
 375.00 keV   5.569E+01  1.638E+02    1230 A       496 A       344 A   
 400.00 keV   5.934E+01  1.602E+02    1319 A       526 A       366 A   
 450.00 keV   6.697E+01  1.534E+02    1499 A       583 A       412 A   
 500.00 keV   7.471E+01  1.473E+02    1679 A       639 A       458 A   
 550.00 keV   8.230E+01  1.417E+02    1858 A       692 A       504 A   
 600.00 keV   8.956E+01  1.366E+02    2037 A       743 A       549 A   
 650.00 keV   9.638E+01  1.319E+02    2216 A       793 A       593 A   
 700.00 keV   1.027E+02  1.275E+02    2394 A       840 A       637 A   
 800.00 keV   1.139E+02  1.198E+02    2749 A       931 A       723 A   
 900.00 keV   1.232E+02  1.131E+02    3103 A      1018 A       806 A   
   1.00 MeV   1.309E+02  1.072E+02    3457 A      1100 A       886 A   
   1.10 MeV   1.372E+02  1.020E+02    3811 A      1179 A       964 A   
   1.20 MeV   1.423E+02  9.739E+01    4168 A      1255 A      1041 A   
   1.30 MeV   1.466E+02  9.322E+01    4526 A      1329 A      1115 A   
   1.40 MeV   1.502E+02  8.944E+01    4887 A      1401 A      1189 A   
   1.50 MeV   1.533E+02  8.601E+01    5250 A      1472 A      1261 A   
   1.60 MeV   1.560E+02  8.287E+01    5615 A      1541 A      1332 A   
   1.70 MeV   1.585E+02  7.999E+01    5983 A      1608 A      1403 A   
   1.80 MeV   1.609E+02  7.733E+01    6353 A      1675 A      1472 A   
   2.00 MeV   1.655E+02  7.258E+01    7097 A      1804 A      1609 A   
   2.25 MeV   1.717E+02  6.751E+01    8033 A      1958 A      1777 A   
   2.50 MeV   1.789E+02  6.320E+01    8967 A      2104 A      1940 A   
   2.75 MeV   1.873E+02  5.947E+01    9892 A      2239 A      2097 A   
   3.00 MeV   1.972E+02  5.621E+01    1.08 um     2365 A      2249 A   
   3.25 MeV   2.084E+02  5.334E+01    1.17 um     2481 A      2394 A   
   3.50 MeV   2.210E+02  5.078E+01    1.25 um     2587 A      2532 A   
   3.75 MeV   2.349E+02  4.849E+01    1.34 um     2683 A      2662 A   
   4.00 MeV   2.498E+02  4.642E+01    1.42 um     2770 A      2784 A   
   4.50 MeV   2.826E+02  4.283E+01    1.57 um     2923 A      3007 A   
   5.00 MeV   3.185E+02  3.982E+01    1.70 um     3048 A      3200 A   
   5.50 MeV   3.565E+02  3.724E+01    1.83 um     3150 A      3368 A   
   6.00 MeV   3.959E+02  3.502E+01    1.94 um     3234 A      3514 A   
   6.50 MeV   4.362E+02  3.307E+01    2.05 um     3304 A      3641 A   
   7.00 MeV   4.769E+02  3.135E+01    2.15 um     3363 A      3752 A   
   8.00 MeV   5.578E+02  2.845E+01    2.32 um     3459 A      3937 A   
   9.00 MeV   6.365E+02  2.609E+01    2.48 um     3532 A      4083 A   
  10.00 MeV   7.119E+02  2.413E+01    2.61 um     3588 A      4202 A   
  11.00 MeV   7.833E+02  2.246E+01    2.74 um     3634 A      4300 A   
  12.00 MeV   8.504E+02  2.104E+01    2.86 um     3671 A      4384 A   
  13.00 MeV   9.132E+02  1.980E+01    2.96 um     3702 A      4456 A   
  14.00 MeV   9.719E+02  1.871E+01    3.07 um     3728 A      4518 A   
  15.00 MeV   1.027E+03  1.775E+01    3.16 um     3751 A      4573 A   
  16.00 MeV   1.078E+03  1.689E+01    3.25 um     3771 A      4622 A   
  17.00 MeV   1.125E+03  1.611E+01    3.34 um     3789 A      4666 A   
  18.00 MeV   1.169E+03  1.541E+01    3.43 um     3805 A      4706 A   
  20.00 MeV   1.249E+03  1.420E+01    3.59 um     3836 A      4775 A   
  22.50 MeV   1.335E+03  1.294E+01    3.78 um     3869 A      4848 A   
  25.00 MeV   1.408E+03  1.191E+01    3.96 um     3898 A      4910 A   
  27.50 MeV   1.470E+03  1.104E+01    4.13 um     3922 A      4963 A   
  30.00 MeV   1.523E+03  1.030E+01    4.29 um     3944 A      5010 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E+00                 eV / Angstrom 
  1.0000E+01                keV / micron   
  1.0000E+01                MeV / mm       
  1.2764E-02                keV / (ug/cm2) 
  1.2764E-02                MeV / (mg/cm2) 
  1.2764E+01                keV / (mg/cm2) 
  1.1737E+00                 eV / (1E15 atoms/cm2)
  1.5909E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
