 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> June 21, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Copper in Copper

 Ion = Copper [29] , Mass = 62.93 amu

 Target Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  13.00 keV   7.384E+00  1.968E+02      56 A        34 A        24 A   
  14.00 keV   7.662E+00  2.001E+02      59 A        35 A        25 A   
  15.00 keV   7.931E+00  2.031E+02      61 A        37 A        26 A   
  16.00 keV   8.191E+00  2.058E+02      64 A        38 A        27 A   
  17.00 keV   8.443E+00  2.084E+02      67 A        40 A        29 A   
  18.00 keV   8.688E+00  2.107E+02      70 A        41 A        30 A   
  20.00 keV   9.158E+00  2.149E+02      76 A        44 A        32 A   
  22.50 keV   9.714E+00  2.194E+02      83 A        47 A        34 A   
  25.00 keV   1.024E+01  2.231E+02      89 A        51 A        37 A   
  27.50 keV   1.074E+01  2.263E+02      96 A        54 A        39 A   
  30.00 keV   1.122E+01  2.290E+02     103 A        58 A        41 A   
  32.50 keV   1.167E+01  2.313E+02     110 A        61 A        44 A   
  35.00 keV   1.212E+01  2.333E+02     116 A        64 A        46 A   
  37.50 keV   1.254E+01  2.350E+02     123 A        67 A        48 A   
  40.00 keV   1.295E+01  2.365E+02     129 A        71 A        50 A   
  45.00 keV   1.374E+01  2.388E+02     142 A        77 A        55 A   
  50.00 keV   1.448E+01  2.405E+02     156 A        83 A        59 A   
  55.00 keV   1.519E+01  2.417E+02     169 A        89 A        63 A   
  60.00 keV   1.586E+01  2.425E+02     182 A        95 A        68 A   
  65.00 keV   1.651E+01  2.430E+02     195 A       102 A        72 A   
  70.00 keV   1.713E+01  2.433E+02     208 A       108 A        76 A   
  80.00 keV   1.832E+01  2.431E+02     234 A       120 A        84 A   
  90.00 keV   1.943E+01  2.424E+02     260 A       132 A        92 A   
 100.00 keV   2.048E+01  2.413E+02     287 A       144 A       100 A   
 110.00 keV   2.148E+01  2.398E+02     314 A       156 A       108 A   
 120.00 keV   2.243E+01  2.382E+02     341 A       168 A       116 A   
 130.00 keV   2.438E+01  2.363E+02     368 A       180 A       124 A   
 140.00 keV   2.694E+01  2.344E+02     395 A       192 A       132 A   
 150.00 keV   2.863E+01  2.324E+02     423 A       203 A       139 A   
 160.00 keV   2.976E+01  2.304E+02     450 A       215 A       147 A   
 170.00 keV   3.063E+01  2.283E+02     478 A       227 A       155 A   
 180.00 keV   3.144E+01  2.262E+02     506 A       238 A       163 A   
 200.00 keV   3.321E+01  2.220E+02     563 A       262 A       179 A   
 225.00 keV   3.557E+01  2.169E+02     636 A       292 A       198 A   
 250.00 keV   3.783E+01  2.119E+02     710 A       321 A       218 A   
 275.00 keV   4.000E+01  2.070E+02     785 A       351 A       238 A   
 300.00 keV   4.215E+01  2.024E+02     862 A       380 A       258 A   
 325.00 keV   4.434E+01  1.979E+02     939 A       410 A       279 A   
 350.00 keV   4.658E+01  1.937E+02    1018 A       439 A       299 A   
 375.00 keV   4.889E+01  1.896E+02    1098 A       469 A       320 A   
 400.00 keV   5.127E+01  1.857E+02    1179 A       498 A       341 A   
 450.00 keV   5.618E+01  1.784E+02    1343 A       555 A       383 A   
 500.00 keV   6.123E+01  1.718E+02    1509 A       612 A       427 A   
 550.00 keV   6.636E+01  1.657E+02    1677 A       668 A       470 A   
 600.00 keV   7.150E+01  1.601E+02    1847 A       723 A       514 A   
 650.00 keV   7.663E+01  1.549E+02    2018 A       776 A       558 A   
 700.00 keV   8.171E+01  1.501E+02    2190 A       828 A       602 A   
 800.00 keV   9.166E+01  1.414E+02    2535 A       929 A       690 A   
 900.00 keV   1.013E+02  1.339E+02    2881 A      1026 A       777 A   
   1.00 MeV   1.106E+02  1.272E+02    3227 A      1117 A       862 A   
   1.10 MeV   1.195E+02  1.213E+02    3571 A      1205 A       946 A   
   1.20 MeV   1.282E+02  1.160E+02    3912 A      1288 A      1028 A   
   1.30 MeV   1.366E+02  1.112E+02    4252 A      1367 A      1108 A   
   1.40 MeV   1.448E+02  1.068E+02    4588 A      1443 A      1185 A   
   1.50 MeV   1.527E+02  1.029E+02    4921 A      1515 A      1261 A   
   1.60 MeV   1.605E+02  9.925E+01    5251 A      1583 A      1335 A   
   1.70 MeV   1.682E+02  9.590E+01    5577 A      1649 A      1406 A   
   1.80 MeV   1.757E+02  9.281E+01    5900 A      1711 A      1476 A   
   2.00 MeV   1.904E+02  8.727E+01    6533 A      1829 A      1609 A   
   2.25 MeV   2.082E+02  8.134E+01    7303 A      1962 A      1765 A   
   2.50 MeV   2.257E+02  7.627E+01    8048 A      2081 A      1910 A   
   2.75 MeV   2.429E+02  7.187E+01    8769 A      2188 A      2045 A   
   3.00 MeV   2.598E+02  6.802E+01    9466 A      2285 A      2170 A   
   3.25 MeV   2.766E+02  6.462E+01    1.01 um     2373 A      2287 A   
   3.50 MeV   2.933E+02  6.159E+01    1.08 um     2452 A      2397 A   
   3.75 MeV   3.098E+02  5.886E+01    1.14 um     2525 A      2499 A   
   4.00 MeV   3.262E+02  5.640E+01    1.20 um     2592 A      2594 A   
   4.50 MeV   3.587E+02  5.211E+01    1.32 um     2710 A      2768 A   
   5.00 MeV   3.909E+02  4.850E+01    1.43 um     2811 A      2921 A   
   5.50 MeV   4.226E+02  4.542E+01    1.53 um     2897 A      3057 A   
   6.00 MeV   4.539E+02  4.274E+01    1.63 um     2972 A      3179 A   
   6.50 MeV   4.848E+02  4.040E+01    1.72 um     3037 A      3289 A   
   7.00 MeV   5.153E+02  3.833E+01    1.81 um     3094 A      3388 A   
   8.00 MeV   5.747E+02  3.483E+01    1.97 um     3193 A      3560 A   
   9.00 MeV   6.322E+02  3.198E+01    2.12 um     3273 A      3704 A   
  10.00 MeV   6.876E+02  2.960E+01    2.26 um     3338 A      3827 A   
