 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> April 09, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Tungsten in Tungsten

 Ion = Tungsten [74] , Mass = 183.951 amu

 Target Density =  1.9350E+01 g/cm3 = 6.3381E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      W     74    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  13.00 keV   2.471E+01  3.915E+02      31 A        22 A        16 A   
  14.00 keV   2.565E+01  4.037E+02      33 A        23 A        16 A   
  15.00 keV   2.655E+01  4.152E+02      34 A        24 A        17 A   
  16.00 keV   2.742E+01  4.262E+02      35 A        24 A        17 A   
  17.00 keV   2.826E+01  4.366E+02      36 A        25 A        18 A   
  18.00 keV   2.908E+01  4.466E+02      37 A        26 A        18 A   
  20.00 keV   3.065E+01  4.652E+02      40 A        27 A        19 A   
  22.50 keV   3.251E+01  4.864E+02      42 A        29 A        21 A   
  25.00 keV   3.427E+01  5.057E+02      45 A        30 A        22 A   
  27.50 keV   3.594E+01  5.234E+02      48 A        32 A        23 A   
  30.00 keV   3.754E+01  5.397E+02      50 A        33 A        24 A   
  32.50 keV   3.907E+01  5.548E+02      53 A        35 A        25 A   
  35.00 keV   4.055E+01  5.690E+02      55 A        36 A        26 A   
  37.50 keV   4.197E+01  5.822E+02      57 A        37 A        27 A   
  40.00 keV   4.335E+01  5.946E+02      60 A        38 A        28 A   
  45.00 keV   4.598E+01  6.173E+02      64 A        41 A        29 A   
  50.00 keV   4.847E+01  6.377E+02      68 A        43 A        31 A   
  55.00 keV   5.083E+01  6.561E+02      73 A        45 A        33 A   
  60.00 keV   5.309E+01  6.729E+02      77 A        48 A        34 A   
  65.00 keV   5.526E+01  6.883E+02      81 A        50 A        36 A   
  70.00 keV   5.734E+01  7.024E+02      85 A        52 A        37 A   
  80.00 keV   6.130E+01  7.277E+02      93 A        56 A        40 A   
  90.00 keV   6.502E+01  7.495E+02     100 A        60 A        43 A   
 100.00 keV   6.854E+01  7.687E+02     108 A        64 A        46 A   
 110.00 keV   7.189E+01  7.857E+02     115 A        67 A        49 A   
 120.00 keV   7.508E+01  8.009E+02     122 A        71 A        52 A   
 130.00 keV   7.815E+01  8.145E+02     129 A        75 A        54 A   
 140.00 keV   8.110E+01  8.268E+02     136 A        78 A        57 A   
 150.00 keV   8.394E+01  8.379E+02     143 A        82 A        59 A   
 160.00 keV   8.670E+01  8.480E+02     150 A        85 A        62 A   
 170.00 keV   8.937E+01  8.573E+02     157 A        88 A        64 A   
 180.00 keV   9.196E+01  8.657E+02     163 A        92 A        66 A   
 200.00 keV   9.693E+01  8.807E+02     177 A        98 A        71 A   
 225.00 keV   1.028E+02  8.962E+02     193 A       106 A        77 A   
 250.00 keV   1.084E+02  9.090E+02     209 A       114 A        82 A   
 275.00 keV   1.137E+02  9.195E+02     225 A       121 A        88 A   
 300.00 keV   1.187E+02  9.283E+02     241 A       129 A        93 A   
 325.00 keV   1.236E+02  9.356E+02     257 A       136 A        98 A   
 350.00 keV   1.282E+02  9.416E+02     273 A       143 A       103 A   
 375.00 keV   1.350E+02  9.466E+02     288 A       151 A       108 A   
 400.00 keV   1.454E+02  9.507E+02     304 A       158 A       113 A   
 450.00 keV   1.604E+02  9.567E+02     335 A       171 A       123 A   
 500.00 keV   1.706E+02  9.603E+02     365 A       185 A       133 A   
 550.00 keV   1.783E+02  9.621E+02     396 A       198 A       143 A   
 600.00 keV   1.847E+02  9.626E+02     426 A       212 A       152 A   
 650.00 keV   1.903E+02  9.619E+02     456 A       225 A       161 A   
 700.00 keV   1.956E+02  9.604E+02     487 A       238 A       170 A   
 800.00 keV   2.059E+02  9.553E+02     548 A       264 A       188 A   
 900.00 keV   2.164E+02  9.483E+02     610 A       290 A       205 A   
   1.00 MeV   2.271E+02  9.400E+02     672 A       316 A       223 A   
   1.10 MeV   2.381E+02  9.309E+02     735 A       341 A       240 A   
   1.20 MeV   2.491E+02  9.213E+02     797 A       367 A       257 A   
   1.30 MeV   2.600E+02  9.113E+02     860 A       392 A       274 A   
   1.40 MeV   2.707E+02  9.012E+02     924 A       416 A       291 A   
   1.50 MeV   2.811E+02  8.910E+02     987 A       441 A       308 A   
   1.60 MeV   2.912E+02  8.808E+02    1051 A       465 A       325 A   
   1.70 MeV   3.009E+02  8.707E+02    1116 A       489 A       342 A   
   1.80 MeV   3.102E+02  8.606E+02    1180 A       513 A       359 A   
   2.00 MeV   3.276E+02  8.410E+02    1311 A       561 A       393 A   
   2.25 MeV   3.470E+02  8.174E+02    1475 A       620 A       435 A   
   2.50 MeV   3.641E+02  7.949E+02    1642 A       678 A       477 A   
   2.75 MeV   3.792E+02  7.736E+02    1811 A       735 A       519 A   
   3.00 MeV   3.925E+02  7.535E+02    1982 A       792 A       560 A   
   3.25 MeV   4.045E+02  7.345E+02    2155 A       849 A       602 A   
   3.50 MeV   4.153E+02  7.165E+02    2330 A       905 A       644 A   
   3.75 MeV   4.251E+02  6.994E+02    2508 A       961 A       686 A   
   4.00 MeV   4.341E+02  6.833E+02    2687 A      1016 A       728 A   
